model,task,participant,score
synthetic_control,synthetic_language,synthetic_01,0.1
synthetic_concept,synthetic_language,synthetic_01,0.10200000000000001
synthetic_control,synthetic_language,synthetic_02,0.10600000000000001
synthetic_concept,synthetic_language,synthetic_02,0.116
synthetic_control,synthetic_language,synthetic_03,0.112
synthetic_concept,synthetic_language,synthetic_03,0.13
synthetic_control,synthetic_language,synthetic_04,0.11800000000000001
synthetic_concept,synthetic_language,synthetic_04,0.12
synthetic_control,synthetic_language,synthetic_05,0.124
synthetic_concept,synthetic_language,synthetic_05,0.134
synthetic_control,synthetic_language,synthetic_06,0.13
synthetic_concept,synthetic_language,synthetic_06,0.14800000000000002
synthetic_control,synthetic_cognition,synthetic_01,0.1
synthetic_concept,synthetic_cognition,synthetic_01,0.088
synthetic_control,synthetic_cognition,synthetic_02,0.10600000000000001
synthetic_concept,synthetic_cognition,synthetic_02,0.10200000000000001
synthetic_control,synthetic_cognition,synthetic_03,0.112
synthetic_concept,synthetic_cognition,synthetic_03,0.11599999999999999
synthetic_control,synthetic_cognition,synthetic_04,0.11800000000000001
synthetic_concept,synthetic_cognition,synthetic_04,0.10600000000000001
synthetic_control,synthetic_cognition,synthetic_05,0.124
synthetic_concept,synthetic_cognition,synthetic_05,0.12
synthetic_control,synthetic_cognition,synthetic_06,0.13
synthetic_concept,synthetic_cognition,synthetic_06,0.134
