exposure_words,strict_noDWA-242_blimp,strict_noDWA-242_supplement,strict_noDWA-242_ewok,strict_noDWA-242_entity_tracking,strict_noDWA-242_global_piqa,strict_noDWA-242_reading,strict_noDWA-242_fast_macro,strict_DWA-242_blimp,strict_DWA-242_supplement,strict_DWA-242_ewok,strict_DWA-242_entity_tracking,strict_DWA-242_global_piqa,strict_DWA-242_reading,strict_DWA-242_fast_macro,strict_noDWA-583_blimp,strict_noDWA-583_supplement,strict_noDWA-583_ewok,strict_noDWA-583_entity_tracking,strict_noDWA-583_global_piqa,strict_noDWA-583_reading,strict_noDWA-583_fast_macro,strict_DWA-583_blimp,strict_DWA-583_supplement,strict_DWA-583_ewok,strict_DWA-583_entity_tracking,strict_DWA-583_global_piqa,strict_DWA-583_reading,strict_DWA-583_fast_macro,multilingual_eng_zero_shot,multilingual_nld_zero_shot,multilingual_zho_zero_shot,multilingual_macro_zero_shot
1000000,46.55,44.4,49.09,19.1,35.165,1.5126624878754835,32.63627708131258,46.54,44.4,49.09,19.1,35.165,1.5126664072621308,32.634611067877024,55.8,47.6,50.55,17.62,36.665,0.14744443499901716,34.73040740583317,55.85,48.4,50.64,17.75,37.18,0.1478909945772407,34.99464849909621,44.78556890165801,45.28640743994377,43.94767896706207,44.67321843622128
2000000,48.32,43.6,50.82,18.71,38.135,0.47216010218255916,33.342860017030425,48.32,43.6,50.82,18.71,38.135,0.47255684601247727,33.34292614100208,55.62,46.0,50.64,16.29,36.21,0.15932218599075657,34.153220364331794,55.7,45.6,50.18,16.13,35.71,0.15674328270373084,33.91279054711729,45.555526173397375,45.64246589325107,45.02707887346966,45.40835698003937
3000000,50.63,41.6,48.18,19.36,32.695,0.19243983595870034,32.109573305993116,50.64,41.6,48.18,19.36,32.695,0.19241024759396858,32.11123504126566,57.92,47.6,50.36,16.44,36.18,0.16118423802006707,34.77686403967001,57.92,48.0,51.82,16.11,35.695,0.1495431380266133,34.949090523004436,45.86748611354085,46.32360535581227,44.41568029360468,45.5355905876526
4000000,53.15,42.8,47.55,19.15,31.225,0.16585139417191108,32.34014189902865,53.13,42.8,47.45,19.15,31.225,0.16578942553863338,32.3201315709231,57.39,48.8,51.27,17.93,35.195,0.13298305349877917,35.1196638422498,57.64,49.6,49.09,17.76,34.21,0.12681536358405937,34.737802560597345,46.130645267879025,45.70553982189388,43.82862450659603,45.221603198789644
5000000,54.1,42.8,50.55,18.23,32.74,0.15604479594110987,33.09600746599018,54.1,42.8,50.55,18.23,32.74,0.15600577733481336,33.096000962889136,56.43,49.6,49.36,18.31,34.725,0.07388339481677882,34.74981389913613,56.36,47.6,49.73,17.48,34.225,0.06878747016951302,34.243964578361584,45.91467103051866,45.174030471057094,44.39826176289494,45.1623210881569
6000000,54.74,43.2,49.55,17.77,31.725,0.16084372824347812,32.85764062137391,54.74,43.2,49.55,17.77,31.725,0.16083715329128642,32.85763952554855,56.19,51.2,48.91,18.21,35.18,0.03850792527073396,34.95475132087846,55.71,50.4,49.55,18.05,35.18,0.03622491291324478,34.82103748548554,45.932164315627276,44.89190902602428,45.04782093356374,45.290631425071766
7000000,55.48,45.6,50.0,18.14,31.75,0.1627158550086039,33.5221193091681,55.49,45.6,50.45,18.18,31.75,0.16252286487526746,33.605420477479214,55.59,55.6,49.91,17.91,33.71,0.026123060534710522,35.45768717675578,55.93,54.4,49.82,18.01,34.68,0.02190095371547516,35.47698349228591,45.62312386873754,45.0381032480054,45.081544077859725,45.247590398200884
8000000,55.95,46.0,50.18,18.12,30.765,0.16532606078194734,33.53005434346366,55.91,46.0,50.36,18.12,30.765,0.16517318212872031,33.55336219702145,55.5,54.0,49.27,18.51,34.68,0.033333163953260914,35.33222219399221,55.74,53.2,51.18,19.4,34.21,0.03886431514342092,35.6281440525239,45.88783181686395,44.31057375473716,45.43420639547815,45.210870655693085
9000000,56.32,47.2,50.09,18.2,32.24,0.16713849473487447,34.03618974912248,56.31,47.2,49.91,18.2,31.75,0.1672174766628187,33.922869579443805,55.43,53.2,48.36,18.51,35.165,0.03662360985831796,35.11693726830972,55.46,54.4,47.36,18.58,33.21,0.045657183401378955,34.8426095305669,46.0899859980659,44.51273478800609,45.101670651195676,45.23479714575589
10000000,56.39,47.2,49.27,18.31,32.24,0.1698854984764744,33.929980916412745,56.34,47.2,49.18,18.31,32.24,0.16976041103948616,33.90662673517325,55.64,51.6,48.55,17.77,35.18,0.058933489497649205,34.799822248249605,55.68,54.4,48.82,17.77,34.195,0.06920079646182627,35.15570013274364,45.759496250222284,44.31794107443808,45.035139878259145,45.037525734306506
20000000,55.24,50.0,51.18,19.22,35.725,0.08966383881943488,35.242443973136574,55.25,49.6,52.45,18.59,35.725,0.09065563012059213,35.28427593835343,58.62,59.6,51.73,17.65,36.165,0.0566207064641378,37.30360345107736,58.43,56.8,50.82,17.94,33.68,0.058805924619052125,36.28813432076984,46.69067749148806,45.15000360333524,44.49472298402968,45.445134692950994
30000000,53.85,53.2,50.64,18.64,39.635,0.04477490820298,36.00162915136716,53.69,52.4,49.82,18.12,38.635,0.04304461722166245,35.45134076953694,62.28,60.4,49.18,15.97,36.165,0.10768884562252234,37.35044814093709,61.69,61.2,51.55,15.97,36.15,0.11741541544955829,37.77956923590826,47.537522841530844,46.81279198472906,44.65391935949564,46.33474472858518
40000000,54.12,54.8,49.27,18.58,38.165,0.05426892197495711,35.83154482032916,54.03,54.0,49.91,18.13,38.165,0.049760668718508816,35.71412677811975,66.15,63.2,50.55,17.59,31.195,0.1669566370636474,38.14199277284394,65.57,61.2,49.82,17.32,32.665,0.17682410097404586,37.79197068349568,48.50497296432154,47.395009623460965,45.8759924111298,47.25865833297077
50000000,54.43,57.2,50.91,17.5,35.68,0.06335772668313151,35.96389295444719,54.52,56.8,49.73,17.8,35.18,0.061905471628297765,35.68198424527138,67.38,62.0,51.82,18.89,34.665,0.22398246460202742,39.16316374410034,67.07,59.2,50.64,17.74,32.165,0.2426636952886804,37.84294394921478,49.69953458305213,48.82767319961725,46.24068562924725,48.25596447063888
60000000,55.04,56.0,49.64,17.2,34.71,0.06038861547062533,35.44173143591177,55.09,56.4,49.45,17.39,34.71,0.05834709247633505,35.51639118207939,68.13,63.6,50.45,19.18,35.665,0.22069901020549967,39.54094983503425,67.75,62.4,50.55,16.84,33.225,0.2109525128035034,38.49599208546725,50.20016170894219,48.983715876239444,46.082357178495904,48.42207825455918
70000000,55.48,55.6,48.64,17.02,34.695,0.057827633736196794,35.2488046056227,55.4,54.0,47.55,16.47,34.695,0.056616377062962464,34.69526939617716,69.75,63.6,49.64,18.05,35.65,0.1760631597571552,39.47767719329286,68.86,63.6,51.0,15.17,35.68,0.20408712067914386,39.08568118677986,50.2088422332874,48.71138847944146,46.78087739028382,48.56703603433756
80000000,55.71,56.4,48.09,17.04,34.695,0.05191450603001324,35.33115241767167,55.72,55.6,47.45,16.57,34.195,0.05392853447413,34.931488089079025,69.11,64.0,50.64,15.82,36.15,0.1826880385097475,39.31711467308496,69.4,63.2,50.82,16.58,32.71,0.1934979171908316,38.81724965286514,50.481455129682914,48.69368844320647,46.76303092097051,48.646058164619966
90000000,55.98,56.0,48.82,17.29,33.225,0.05076772414774991,35.227627954024626,55.89,56.0,49.09,17.3,33.225,0.049525342754756264,35.259087557125795,70.2,64.8,50.27,16.61,35.15,0.2041842487178258,39.53903070811964,70.6,64.0,52.45,16.46,34.65,0.26317373326370125,39.73719562221061,50.80362884032438,48.43446602392721,46.79536640685733,48.677820423702975
