domain,model,state_index,n,mean,sd,se
Cognition,gpt_bert_unmatched,0,6,0.08062883223906077,0.02825744275198693,0.011536052696379143
Cognition,gpt_bert_unmatched,1,6,0.08204558247673006,0.028878096796167575,0.011789433648885373
Cognition,gpt_bert_unmatched,2,6,0.0862046847809758,0.02834134647166727,0.0115703062465022
Cognition,gpt_bert_unmatched,3,6,0.09171419455560649,0.028524483686979667,0.011645071701573799
Cognition,gpt_bert_unmatched,4,6,0.09659387406462933,0.029237442322573276,0.011936135845726338
Cognition,gpt_bert_unmatched,5,6,0.10190599559606627,0.03244430591508691,0.013245332425120831
Cognition,gpt_bert_unmatched,6,6,0.1028724770919268,0.033058020652416344,0.013495880417468051
Cognition,gpt_bert_unmatched,7,6,0.10179899530398806,0.031133447736921654,0.012710176814844291
Cognition,gpt_bert_unmatched,8,6,0.10017231351792473,0.03125869165077671,0.012761307428566621
Cognition,gpt_bert_unmatched,9,6,0.10275179856890987,0.029186784433910828,0.011915454849281384
Cognition,gpt_bert_unmatched,10,6,0.1037515266273397,0.028595552333067466,0.011674085354844724
Cognition,gpt_bert_unmatched,11,6,0.0988139625752531,0.029041395729870637,0.01185610015940422
Cognition,gpt_bert_unmatched,12,6,0.09528572342153253,0.02754005598765303,0.011243180776238424
Cognition,babyconceptlm_242_zh,0,6,0.09835424789372739,0.026050799442499474,0.010635194337617367
Cognition,babyconceptlm_242_zh,1,6,0.10242631158295268,0.029921377126138318,0.012215351060070503
Cognition,babyconceptlm_242_zh,2,6,0.10788450825939146,0.029392181333544827,0.011999307782423542
Cognition,babyconceptlm_242_zh,3,6,0.1042722956070823,0.029368784753067097,0.011989756168440809
Cognition,babyconceptlm_242_zh,4,6,0.10344513274060509,0.0261333666242469,0.010668902248414172
Cognition,babyconceptlm_242_zh,5,6,0.10194514486903368,0.023149172791239975,0.009450610217676294
Cognition,babyconceptlm_242_zh,6,6,0.10331586400697156,0.023827044554891694,0.00972735020634083
Cognition,babyconceptlm_242_zh,7,6,0.1155438473428828,0.02805148665221046,0.011451971470734793
Cognition,babyconceptlm_242_zh,8,6,0.11557205905890762,0.025459829077314675,0.010393931696315868
Cognition,babyconceptlm_242_zh,9,6,0.11649988511093036,0.02566567337562277,0.01047796727920188
Language,gpt_bert_unmatched,0,6,0.1487811036616355,0.04274515879239897,0.017450638002603245
Language,gpt_bert_unmatched,1,6,0.14824463745088964,0.043964892562620234,0.017948592229117117
Language,gpt_bert_unmatched,2,6,0.14975189907671296,0.04465255430005977,0.01822932895784422
Language,gpt_bert_unmatched,3,6,0.1531388874139407,0.043769055900142996,0.017868642246450638
Language,gpt_bert_unmatched,4,6,0.15910508194958073,0.04409683158988516,0.018002456111443486
Language,gpt_bert_unmatched,5,6,0.16400961654492516,0.04620448775206932,0.0188629031365408
Language,gpt_bert_unmatched,6,6,0.16629728763260057,0.04774723745942306,0.019492728067181588
Language,gpt_bert_unmatched,7,6,0.1670949507188401,0.047932697522219785,0.01956844182076767
Language,gpt_bert_unmatched,8,6,0.16590108766807812,0.04883683651922945,0.01993755502063858
Language,gpt_bert_unmatched,9,6,0.16602196449152878,0.04826876748882524,0.019705641810110596
Language,gpt_bert_unmatched,10,6,0.16890067064753087,0.04782764122816983,0.01952555276831931
Language,gpt_bert_unmatched,11,6,0.1687676239874214,0.045651866477683545,0.018637296445998843
Language,gpt_bert_unmatched,12,6,0.16484615809168385,0.04240389180848191,0.017311316339827347
Language,babyconceptlm_242_zh,0,6,0.1656782150391155,0.0397763204362973,0.016238614819061192
Language,babyconceptlm_242_zh,1,6,0.168295203270542,0.03689423495232007,0.015062008347256772
Language,babyconceptlm_242_zh,2,6,0.1729378304734813,0.04333478127942973,0.017691350374952605
Language,babyconceptlm_242_zh,3,6,0.16526333361714374,0.04017603230142814,0.01640179650467898
Language,babyconceptlm_242_zh,4,6,0.1659156721533147,0.038491090749702195,0.015713921996655333
Language,babyconceptlm_242_zh,5,6,0.1674513993255892,0.041381722489031506,0.016894017462597107
Language,babyconceptlm_242_zh,6,6,0.17222123673348497,0.04377350742768766,0.0178704595749607
Language,babyconceptlm_242_zh,7,6,0.17777258797307424,0.04302221795415621,0.017563746931747986
Language,babyconceptlm_242_zh,8,6,0.1767530210872852,0.04152444728022242,0.01695228461460761
Language,babyconceptlm_242_zh,9,6,0.17714005750942988,0.041447835668848826,0.01692100805523466
Manipulation,gpt_bert_unmatched,0,6,0.07664191113843617,0.021889661755542106,0.008936416990532268
Manipulation,gpt_bert_unmatched,1,6,0.07950783222952079,0.021664990185113357,0.0088446952059889
Manipulation,gpt_bert_unmatched,2,6,0.08349643387016907,0.021377717492831173,0.008727416620467747
Manipulation,gpt_bert_unmatched,3,6,0.08958334657622395,0.02144996889797931,0.008756913133103086
Manipulation,gpt_bert_unmatched,4,6,0.09424882517905826,0.02127391067175838,0.008685037663226291
Manipulation,gpt_bert_unmatched,5,6,0.09919153486081835,0.023074496812486453,0.009420123877011452
Manipulation,gpt_bert_unmatched,6,6,0.10110090151559757,0.022519952756022435,0.00919373221397312
Manipulation,gpt_bert_unmatched,7,6,0.10058642986458848,0.02088877833421138,0.008527808044820378
Manipulation,gpt_bert_unmatched,8,6,0.09860773337261414,0.0223405394247214,0.009120487028183046
Manipulation,gpt_bert_unmatched,9,6,0.10027863123243676,0.020230518136320045,0.008259074444350836
Manipulation,gpt_bert_unmatched,10,6,0.10104452904822987,0.019253921034302613,0.007860380346980255
Manipulation,gpt_bert_unmatched,11,6,0.09653241303879216,0.01919389203335016,0.007835873609963163
Manipulation,gpt_bert_unmatched,12,6,0.0934618026810123,0.018446535912102116,0.007530766751095945
Manipulation,babyconceptlm_242_zh,0,6,0.10297111945050097,0.024108685219526436,0.009842329526203071
Manipulation,babyconceptlm_242_zh,1,6,0.10258802796150344,0.025685625462532013,0.010486112684573766
Manipulation,babyconceptlm_242_zh,2,6,0.10526763039579301,0.024731110086662216,0.01009643341415345
Manipulation,babyconceptlm_242_zh,3,6,0.10288461191463626,0.022400635511828255,0.009145021153007988
Manipulation,babyconceptlm_242_zh,4,6,0.10122448386307555,0.0207929588001892,0.008488689883862777
Manipulation,babyconceptlm_242_zh,5,6,0.10021609350259268,0.019423064202865964,0.007929432756389885
Manipulation,babyconceptlm_242_zh,6,6,0.10318398953249053,0.020659781690561062,0.008434320556528173
Manipulation,babyconceptlm_242_zh,7,6,0.1122402212693457,0.01947372415690497,0.007950114596021287
Manipulation,babyconceptlm_242_zh,8,6,0.11347910031550391,0.021091570169093108,0.008610597464730873
Manipulation,babyconceptlm_242_zh,9,6,0.1140566501176125,0.021003747990772394,0.008574744210566629
Memory,gpt_bert_unmatched,0,6,0.04604011759711549,0.0188846586623077,0.007709629614880702
Memory,gpt_bert_unmatched,1,6,0.04663783981491953,0.019414972514587875,0.007926129338483388
Memory,gpt_bert_unmatched,2,6,0.04825703667429835,0.020220677779898413,0.008255057135664148
