model,dataset,length,count,fraction
babyconceptLM-en-DWA-242,eng,1,126,0.0015403234679282648
babyconceptLM-en-DWA-242,eng,2,124,0.0015158738890722607
babyconceptLM-en-DWA-242,eng,3,131,0.0016014474150682755
babyconceptLM-en-DWA-242,eng,4,124,0.0015158738890722607
babyconceptLM-en-DWA-242,eng,5,25316,0.30948276915930123
babyconceptLM-en-DWA-242,eng,6,51800,0.6332440923705089
babyconceptLM-en-DWA-242,eng,7,3827,0.04678426914096405
babyconceptLM-en-DWA-242,eng,8,353,0.004315350668084742
babyconceptLM-en-DWA-583,eng,1,5769,0.07945843204231172
babyconceptLM-en-DWA-583,eng,2,4643,0.06394964464767781
babyconceptLM-en-DWA-583,eng,3,3937,0.054225662497934
babyconceptLM-en-DWA-583,eng,4,2924,0.04027326318109195
babyconceptLM-en-DWA-583,eng,5,2262,0.031155308247479477
babyconceptLM-en-DWA-583,eng,6,1799,0.024778249132279214
babyconceptLM-en-DWA-583,eng,7,1580,0.021761886397443666
babyconceptLM-en-DWA-583,eng,8,49690,0.6843975538537822
babyconceptLM-en-noDWA-242,eng,1,135,0.0016806095010457125
babyconceptLM-en-noDWA-242,eng,2,127,0.0015810178269096704
babyconceptLM-en-noDWA-242,eng,3,124,0.0015436709491086545
babyconceptLM-en-noDWA-242,eng,4,99,0.0012324469674335225
babyconceptLM-en-noDWA-242,eng,5,18104,0.22537595856986356
babyconceptLM-en-noDWA-242,eng,6,56355,0.7015610994920825
babyconceptLM-en-noDWA-242,eng,7,4927,0.06133602230853501
babyconceptLM-en-noDWA-242,eng,8,457,0.005689174385021412
babyconceptLM-en-noDWA-583,eng,1,7842,0.09942944085203499
babyconceptLM-en-noDWA-583,eng,2,7033,0.08917205528084189
babyconceptLM-en-noDWA-583,eng,3,5598,0.07097755800684671
babyconceptLM-en-noDWA-583,eng,4,4466,0.056624825662482565
babyconceptLM-en-noDWA-583,eng,5,3535,0.04482059084569545
babyconceptLM-en-noDWA-583,eng,6,2851,0.03614809179662736
babyconceptLM-en-noDWA-583,eng,7,2570,0.03258526689489032
babyconceptLM-en-noDWA-583,eng,8,44975,0.5702421706605807
